mode,solver,status,partition,scaled_loss_budget,ordering_budget,objective_value,ordering_variables,scaled_indexed_bound,total_platoons,platoons_by_approach,vehicle_level_ordering_variables,dimension_reduction_fraction,indexed_bound,actual_scaled_gap,actual_average_gap,gap_le_indexed_bound
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,3,123,3,123,3,"[1, 1, 1]",27,8/9,41/3,30,10/3,True
size_budget,enum,OPTIMAL,"[[1, 2], [3], [3]]",,5,101,5,101,4,"[2, 1, 1]",27,22/27,101/9,16,16/9,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [3], [3]]",,7,82,7,82,5,"[3, 1, 1]",27,20/27,82/9,12,4/3,True
size_budget,enum,OPTIMAL,"[[1, 2], [1, 2], [3]]",,8,79,8,79,5,"[2, 2, 1]",27,19/27,79/9,7,7/9,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [1, 2], [3]]",,11,60,11,60,6,"[3, 2, 1]",27,16/27,20/3,1,1/9,True
size_budget,enum,OPTIMAL,"[[1, 2], [1, 2], [1, 2]]",,12,57,12,57,6,"[2, 2, 2]",27,5/9,19/3,7,7/9,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [1, 1, 1], [3]]",,15,41,15,41,7,"[3, 3, 1]",27,4/9,41/9,1,1/9,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [1, 2], [1, 2]]",,16,38,16,38,7,"[3, 2, 2]",27,11/27,38/9,0,0,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [1, 1, 1], [1, 2]]",,21,19,21,19,8,"[3, 3, 2]",27,2/9,19/9,0,0,True
size_budget,enum,OPTIMAL,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",,27,0,27,0,9,"[3, 3, 3]",27,0,0,0,0,True
